Store,Dept,Target_Date,Prediction,Origin_Date,Horizon_Weeks,Method
1,1,2012-11-02,35911.688663937515,2012-10-26,1,Core gradient boosting
1,2,2012-11-02,46138.0970123574,2012-10-26,1,Core gradient boosting
1,3,2012-11-02,9644.016700207898,2012-10-26,1,Core gradient boosting
1,4,2012-11-02,37786.84341735212,2012-10-26,1,Core gradient boosting
1,5,2012-11-02,29307.977110902408,2012-10-26,1,Core gradient boosting
1,6,2012-11-02,3801.8507504317636,2012-10-26,1,Core gradient boosting
1,7,2012-11-02,23571.326148109194,2012-10-26,1,Core gradient boosting
1,8,2012-11-02,39398.75833902387,2012-10-26,1,Core gradient boosting
1,9,2012-11-02,44595.39792037367,2012-10-26,1,Core gradient boosting
1,10,2012-11-02,28904.991527939823,2012-10-26,1,Core gradient boosting
1,11,2012-11-02,23891.144863440913,2012-10-26,1,Core gradient boosting
1,12,2012-11-02,8861.240010893882,2012-10-26,1,Core gradient boosting
1,13,2012-11-02,40940.86710100269,2012-10-26,1,Core gradient boosting
1,14,2012-11-02,12198.606055054084,2012-10-26,1,Core gradient boosting
1,16,2012-11-02,9646.879323332078,2012-10-26,1,Core gradient boosting
1,17,2012-11-02,7861.113534855604,2012-10-26,1,Core gradient boosting
1,18,2012-11-02,15363.598663329356,2012-10-26,1,Core gradient boosting
1,19,2012-11-02,1493.4839940748411,2012-10-26,1,Core gradient boosting
1,20,2012-11-02,3338.6321461018792,2012-10-26,1,Core gradient boosting
1,21,2012-11-02,8355.602409394693,2012-10-26,1,Core gradient boosting
1,22,2012-11-02,8417.762036433809,2012-10-26,1,Core gradient boosting
1,23,2012-11-02,22321.72169051298,2012-10-26,1,Core gradient boosting
1,24,2012-11-02,6675.773401883465,2012-10-26,1,Core gradient boosting
1,25,2012-11-02,11085.23217688825,2012-10-26,1,Core gradient boosting
1,26,2012-11-02,7274.294848216436,2012-10-26,1,Core gradient boosting
1,27,2012-11-02,1696.3971195902702,2012-10-26,1,Core gradient boosting
1,28,2012-11-02,657.4956809234861,2012-10-26,1,Core gradient boosting
1,29,2012-11-02,4071.1164082015134,2012-10-26,1,Core gradient boosting
1,30,2012-11-02,2822.202195221574,2012-10-26,1,Core gradient boosting
1,31,2012-11-02,1606.8801207873182,2012-10-26,1,Core gradient boosting
1,32,2012-11-02,6497.628675354801,2012-10-26,1,Core gradient boosting
1,33,2012-11-02,6003.459257605768,2012-10-26,1,Core gradient boosting
1,34,2012-11-02,10613.244024586993,2012-10-26,1,Core gradient boosting
1,35,2012-11-02,1552.6188812282014,2012-10-26,1,Core gradient boosting
1,36,2012-11-02,959.5637568824982,2012-10-26,1,Core gradient boosting
1,37,2012-11-02,2692.0473987213413,2012-10-26,1,Core gradient boosting
1,38,2012-11-02,78828.39034032295,2012-10-26,1,Core gradient boosting
1,40,2012-11-02,60508.8343795923,2012-10-26,1,Core gradient boosting
1,41,2012-11-02,1625.999502271561,2012-10-26,1,Core gradient boosting
1,42,2012-11-02,6925.114704087889,2012-10-26,1,Core gradient boosting
1,44,2012-11-02,6273.437785463071,2012-10-26,1,Core gradient boosting
1,45,2012-11-02,248.32215364943002,2012-10-26,1,Core gradient boosting
1,46,2012-11-02,18675.13232243342,2012-10-26,1,Core gradient boosting
1,48,2012-11-02,2073.5049473338318,2012-10-26,1,Core gradient boosting
1,49,2012-11-02,9024.250508372314,2012-10-26,1,Core gradient boosting
1,52,2012-11-02,2291.6885592078916,2012-10-26,1,Core gradient boosting
1,54,2012-11-02,248.32215364943002,2012-10-26,1,Core gradient boosting
1,55,2012-11-02,11024.980772773348,2012-10-26,1,Core gradient boosting
1,56,2012-11-02,1240.2366803081325,2012-10-26,1,Core gradient boosting
1,58,2012-11-02,5073.939282437154,2012-10-26,1,Core gradient boosting
1,59,2012-11-02,288.14662513239773,2012-10-26,1,Core gradient boosting
1,60,2012-11-02,1064.5292715162743,2012-10-26,1,Core gradient boosting
1,67,2012-11-02,7034.712344574802,2012-10-26,1,Core gradient boosting
1,71,2012-11-02,1796.5560095676917,2012-10-26,1,Core gradient boosting
1,72,2012-11-02,47702.83184167428,2012-10-26,1,Core gradient boosting
1,74,2012-11-02,8431.041775378,2012-10-26,1,Core gradient boosting
1,79,2012-11-02,34667.946799279074,2012-10-26,1,Core gradient boosting
1,80,2012-11-02,18570.806369662343,2012-10-26,1,Core gradient boosting
1,81,2012-11-02,29689.910742753807,2012-10-26,1,Core gradient boosting
1,82,2012-11-02,20429.11329356878,2012-10-26,1,Core gradient boosting
1,83,2012-11-02,5659.817096089183,2012-10-26,1,Core gradient boosting
1,85,2012-11-02,3456.9883373536186,2012-10-26,1,Core gradient boosting
1,87,2012-11-02,57807.6897352092,2012-10-26,1,Core gradient boosting
1,90,2012-11-02,94532.51848403973,2012-10-26,1,Core gradient boosting
1,91,2012-11-02,62335.46257574831,2012-10-26,1,Core gradient boosting
1,92,2012-11-02,151351.42812209303,2012-10-26,1,Core gradient boosting
1,93,2012-11-02,79300.13908766693,2012-10-26,1,Core gradient boosting
1,94,2012-11-02,62058.38325304073,2012-10-26,1,Core gradient boosting
1,95,2012-11-02,116844.08326135328,2012-10-26,1,Core gradient boosting
1,96,2012-11-02,36244.40974316717,2012-10-26,1,Core gradient boosting
1,97,2012-11-02,35849.39124710828,2012-10-26,1,Core gradient boosting
1,98,2012-11-02,12678.660423064746,2012-10-26,1,Core gradient boosting
2,1,2012-11-02,49438.60508344221,2012-10-26,1,Core gradient boosting
2,2,2012-11-02,65896.46789053574,2012-10-26,1,Core gradient boosting
2,3,2012-11-02,11038.74648772995,2012-10-26,1,Core gradient boosting
2,4,2012-11-02,46622.553323885244,2012-10-26,1,Core gradient boosting
2,5,2012-11-02,34161.24997117837,2012-10-26,1,Core gradient boosting
2,6,2012-11-02,5168.451043119631,2012-10-26,1,Core gradient boosting
2,7,2012-11-02,47503.78834615967,2012-10-26,1,Core gradient boosting
2,8,2012-11-02,62672.44924265672,2012-10-26,1,Core gradient boosting
2,9,2012-11-02,37174.856254163475,2012-10-26,1,Core gradient boosting
2,10,2012-11-02,35856.69483559982,2012-10-26,1,Core gradient boosting
2,11,2012-11-02,22446.284107871244,2012-10-26,1,Core gradient boosting
2,12,2012-11-02,8049.9307938808915,2012-10-26,1,Core gradient boosting
2,13,2012-11-02,47835.27113450074,2012-10-26,1,Core gradient boosting
2,14,2012-11-02,19316.46316740465,2012-10-26,1,Core gradient boosting
2,16,2012-11-02,7230.1111781560985,2012-10-26,1,Core gradient boosting
2,17,2012-11-02,12472.64511835123,2012-10-26,1,Core gradient boosting
2,18,2012-11-02,25843.59500645775,2012-10-26,1,Core gradient boosting
2,19,2012-11-02,3682.204197462981,2012-10-26,1,Core gradient boosting
2,20,2012-11-02,4263.327301858663,2012-10-26,1,Core gradient boosting
2,21,2012-11-02,8566.444092513855,2012-10-26,1,Core gradient boosting
2,22,2012-11-02,13000.985488564442,2012-10-26,1,Core gradient boosting
2,23,2012-11-02,28429.79140118396,2012-10-26,1,Core gradient boosting
2,24,2012-11-02,8235.510965281703,2012-10-26,1,Core gradient boosting
2,25,2012-11-02,13795.016634818854,2012-10-26,1,Core gradient boosting
2,26,2012-11-02,10097.839415759865,2012-10-26,1,Core gradient boosting
2,27,2012-11-02,2026.5401717289246,2012-10-26,1,Core gradient boosting
2,28,2012-11-02,802.2272394784228,2012-10-26,1,Core gradient boosting
2,29,2012-11-02,5949.037294732223,2012-10-26,1,Core gradient boosting
2,30,2012-11-02,3978.5547197060578,2012-10-26,1,Core gradient boosting
2,31,2012-11-02,3355.081230058871,2012-10-26,1,Core gradient boosting
2,32,2012-11-02,8169.638127149392,2012-10-26,1,Core gradient boosting
2,33,2012-11-02,6678.737176444924,2012-10-26,1,Core gradient boosting
2,34,2012-11-02,16261.97251888514,2012-10-26,1,Core gradient boosting
2,35,2012-11-02,2480.445012650697,2012-10-26,1,Core gradient boosting
2,36,2012-11-02,1131.3235924290514,2012-10-26,1,Core gradient boosting
2,37,2012-11-02,4366.494406176739,2012-10-26,1,Core gradient boosting
2,38,2012-11-02,75217.98269781315,2012-10-26,1,Core gradient boosting
2,40,2012-11-02,78302.30939156367,2012-10-26,1,Core gradient boosting
2,41,2012-11-02,2782.8182429323338,2012-10-26,1,Core gradient boosting
2,42,2012-11-02,8728.15362110175,2012-10-26,1,Core gradient boosting
2,44,2012-11-02,10407.35585194628,2012-10-26,1,Core gradient boosting
2,46,2012-11-02,28150.694181044113,2012-10-26,1,Core gradient boosting
2,48,2012-11-02,2653.1821846394046,2012-10-26,1,Core gradient boosting
2,49,2012-11-02,13206.021745030632,2012-10-26,1,Core gradient boosting
2,52,2012-11-02,3802.0003919461606,2012-10-26,1,Core gradient boosting
2,54,2012-11-02,248.32215364943002,2012-10-26,1,Core gradient boosting
2,55,2012-11-02,12144.858274908813,2012-10-26,1,Core gradient boosting
2,56,2012-11-02,1384.600276561204,2012-10-26,1,Core gradient boosting
2,58,2012-11-02,24682.2670435484,2012-10-26,1,Core gradient boosting
2,59,2012-11-02,476.42082313217765,2012-10-26,1,Core gradient boosting
2,60,2012-11-02,344.4971926943783,2012-10-26,1,Core gradient boosting
2,67,2012-11-02,10199.680819718114,2012-10-26,1,Core gradient boosting
2,71,2012-11-02,4000.9077205795434,2012-10-26,1,Core gradient boosting
2,72,2012-11-02,82087.70026900824,2012-10-26,1,Core gradient boosting
2,74,2012-11-02,14895.060899262733,2012-10-26,1,Core gradient boosting
2,79,2012-11-02,32656.169700379152,2012-10-26,1,Core gradient boosting
2,80,2012-11-02,25874.966947778794,2012-10-26,1,Core gradient boosting
2,81,2012-11-02,29365.427203325416,2012-10-26,1,Core gradient boosting
2,82,2012-11-02,26598.830904345323,2012-10-26,1,Core gradient boosting
2,83,2012-11-02,5331.525864022703,2012-10-26,1,Core gradient boosting
2,85,2012-11-02,3125.261607170846,2012-10-26,1,Core gradient boosting
2,87,2012-11-02,24902.533966159357,2012-10-26,1,Core gradient boosting
2,90,2012-11-02,105481.07932731,2012-10-26,1,Core gradient boosting
2,91,2012-11-02,79906.17734974273,2012-10-26,1,Core gradient boosting
2,92,2012-11-02,172335.52690955647,2012-10-26,1,Core gradient boosting
2,93,2012-11-02,78273.68826323045,2012-10-26,1,Core gradient boosting
2,94,2012-11-02,71371.26084600166,2012-10-26,1,Core gradient boosting
2,95,2012-11-02,148582.2237371154,2012-10-26,1,Core gradient boosting
2,96,2012-11-02,37624.3333932129,2012-10-26,1,Core gradient boosting
2,97,2012-11-02,41137.55334122791,2012-10-26,1,Core gradient boosting
2,98,2012-11-02,14405.131975786057,2012-10-26,1,Core gradient boosting
3,1,2012-11-02,13051.142289489064,2012-10-26,1,Core gradient boosting
3,2,2012-11-02,19047.91772689552,2012-10-26,1,Core gradient boosting
3,3,2012-11-02,5380.792559217937,2012-10-26,1,Core gradient boosting
3,4,2012-11-02,8749.823848921838,2012-10-26,1,Core gradient boosting
3,5,2012-11-02,15260.843597424178,2012-10-26,1,Core gradient boosting
3,6,2012-11-02,1562.3620206094038,2012-10-26,1,Core gradient boosting
3,7,2012-11-02,9248.1167864054,2012-10-26,1,Core gradient boosting
3,8,2012-11-02,9052.878307644061,2012-10-26,1,Core gradient boosting
3,9,2012-11-02,10107.189552364784,2012-10-26,1,Core gradient boosting
3,10,2012-11-02,13706.701572176178,2012-10-26,1,Core gradient boosting
3,11,2012-11-02,9747.815999572551,2012-10-26,1,Core gradient boosting
3,12,2012-11-02,2389.4076961482315,2012-10-26,1,Core gradient boosting
3,13,2012-11-02,12452.850466513833,2012-10-26,1,Core gradient boosting
3,14,2012-11-02,4939.889144867665,2012-10-26,1,Core gradient boosting
3,16,2012-11-02,3846.89648301202,2012-10-26,1,Core gradient boosting
3,17,2012-11-02,2886.6273086929564,2012-10-26,1,Core gradient boosting
3,18,2012-11-02,4289.089653939695,2012-10-26,1,Core gradient boosting
3,19,2012-11-02,624.6232658908079,2012-10-26,1,Core gradient boosting
3,20,2012-11-02,1802.7777151027437,2012-10-26,1,Core gradient boosting
3,21,2012-11-02,1222.5126942258532,2012-10-26,1,Core gradient boosting
