Store,Records,MAE,RMSE,WAPE_Percent,Bias_Percent
1,925,1619.5223147509005,2943.5274598613,7.392973484089441,-0.06999921920521082
2,926,1938.2298413523545,3646.4028526994102,7.345207288221009,-1.3171480751284768
3,814,695.1971550015352,1349.204417445318,10.612583037099316,-0.6137502669070758
4,930,2013.2080085183736,3620.1286580464807,6.725879621665159,-0.5960813696340816
5,793,577.2915991298019,1192.8015118815736,10.964323214403892,0.09879524295681545
6,926,1475.7693814591823,2630.6264778550417,7.02225245348654,1.1809924741302502
7,878,883.4761711865548,1671.159796248307,10.469760905360676,5.145202461967379
8,893,1150.7623061409026,2053.2070328789114,8.64270752599981,-1.0256980771207684
9,800,951.3750297247367,1890.0107432624213,10.639230498461497,-0.524681665306177
10,915,1839.193855494018,4088.1660882722413,7.4036851712209275,0.9189125357463548
11,915,1568.8794434414544,2811.5396465171716,8.304881503568444,0.666184928390599
12,869,1208.1419517371746,2430.370109189237,8.363674619972677,0.19275558850238472
13,938,2048.8419364343968,4435.835260482269,7.291691250608595,-0.4231615591990586
14,905,2561.3062645869577,5135.753719292328,10.847278099535169,5.3798606363301245
15,887,798.4662031504726,1455.3867506529652,9.54956022164289,1.0886143593514972
16,867,892.5358421624366,2950.366042471129,11.354476173246516,2.821529595194211
17,895,1525.2799658774263,3190.439058127992,11.034277692492964,-0.7391383465946586
18,894,1466.3532652517617,2616.812027219586,9.575186213502489,-2.5990872826533207
19,914,1535.2502759018878,2716.853833031793,7.726377172835179,0.19041039943652674
20,920,2071.516068766559,4001.3172599822847,7.0697488461035425,-0.490198613071835
21,861,1005.6438388947241,1865.301351808872,9.712123433229024,1.4160857168027599
22,875,1245.4787710346734,2240.948256969521,8.418767748657931,-0.6300070504960072
23,901,1761.8383379587847,3067.4692770098245,8.536880232812928,0.19792161957223603
24,928,1514.0652605175978,2580.051575605489,7.974590616053695,0.4086328279387569
25,882,822.0310426314849,1451.9583128106765,7.9962834486186445,-0.4735926569821841
26,894,1123.0495963195503,2097.7448204830607,7.479712425867806,0.9805591601918117
27,924,1781.3293968062821,3057.3015340664924,7.582286533319066,0.8374366420308567
28,907,1839.191281622214,3989.6979055142356,10.334777368130453,0.033795664977054655
29,841,909.8460147317224,1648.340851897602,11.451078730846671,-0.4480435761629698
30,631,485.26334393826204,1038.492787574849,5.426780023215105,-1.4713895075578622
31,908,1382.2978767442567,2623.709173603641,7.0666494793254016,0.8226994428356795
32,917,1144.9573251971663,2153.076012145436,6.762156979131978,-0.6644976885587439
33,585,531.0553936475711,1040.9795400562941,9.042333533434142,0.5722119497229333
34,914,985.1335146076374,1727.5691352894557,7.20775262197254,-0.5284475495526605
35,854,1263.259221280088,2293.4678996138414,9.54835273391269,-2.654081952362524
36,555,534.7664843051097,1078.0196406572436,7.8487558219957485,3.7933424559059215
37,661,473.6763823928219,961.2210744922361,4.578385400130221,-0.9939522142794384
38,674,634.4567550622486,1733.23818983288,7.6220819808999005,-0.7014760654869046
39,888,1606.186371547833,3085.126256746183,6.880495661755713,-1.0477283770708732
40,906,1081.3871856814599,1961.37877388317,7.728949303112584,0.567464130748412
41,923,1427.1418191980529,2557.1137725618105,7.291994887010592,-0.7005244130429512
42,647,775.4041815841323,1608.081983782542,6.906034615098884,0.8353081106924889
43,601,801.9299549911668,1714.933126440644,6.000748850548908,-1.0051528599238988
44,663,476.11608276781953,1430.1937528609799,7.144312127085304,-1.5214950375837184
45,865,929.0866083003709,1664.2100530276311,8.473142397627608,0.817882306460264
